2025-06-24 15:24:00,143 - LOG ±â·ÏµÊ: {'time': '2025-06-24 15:24:00', 'cam': 'cam3_thermal', 'label': 'animal', 'clip': '/clips/cam3_thermal/20250624_152358_218564.mp4'}
2025-06-24 15:24:08,829 - LOG ±â·ÏµÊ: {'time': '2025-06-24 15:24:08', 'cam': 'cam3_rgb', 'label': 'animal', 'clip': '/clips/cam3_rgb/20250624_152406_728786.mp4'}
2025-06-24 15:24:31,273 - LOG ±â·ÏµÊ: {'time': '2025-06-24 15:24:31', 'cam': 'cam3_rgb', 'label': 'animal', 'clip': '/clips/cam3_rgb/20250624_152428_530147.mp4'}
2025-06-24 15:24:32,885 - LOG ±â·ÏµÊ: {'time': '2025-06-24 15:24:32', 'cam': 'cam3_thermal', 'label': 'animal', 'clip': '/clips/cam3_thermal/20250624_152429_910120.mp4'}
2025-06-24 15:24:35,646 - LOG ±â·ÏµÊ: {'time': '2025-06-24 15:24:35', 'cam': 'cam2_thermal', 'label': 'person', 'clip': '/clips/cam2_thermal/20250624_152425_846285.mp4'}
2025-06-24 15:24:44,321 - LOG ±â·ÏµÊ: {'time': '2025-06-24 15:24:44', 'cam': 'cam3_rgb', 'label': 'animal', 'clip': '/clips/cam3_rgb/20250624_152441_779994.mp4'}
2025-06-24 15:24:47,899 - LOG ±â·ÏµÊ: {'time': '2025-06-24 15:24:47', 'cam': 'cam2_rgb', 'label': 'person', 'clip': '/clips/cam2_rgb/20250624_152437_653175.mp4'}
2025-06-24 17:11:07,860 - LOG ±â·ÏµÊ: {'time': '2025-06-24 17:11:07', 'cam': 'cam3_thermal', 'label': 'animal', 'clip': '/clips/cam3_thermal/20250624_171106_194357.mp4'}
2025-06-24 17:11:09,614 - LOG ±â·ÏµÊ: {'time': '2025-06-24 17:11:09', 'cam': 'cam3_rgb', 'label': 'animal', 'clip': '/clips/cam3_rgb/20250624_171107_775801.mp4'}
2025-06-24 17:11:10,524 - LOG ±â·ÏµÊ: {'time': '2025-06-24 17:11:10', 'cam': 'cam3_rgb', 'label': 'animal', 'clip': '/clips/cam3_rgb/20250624_171108_698950.mp4'}
2025-06-24 17:11:30,656 - LOG ±â·ÏµÊ: {'time': '2025-06-24 17:11:30', 'cam': 'cam3_thermal', 'label': 'animal', 'clip': '/clips/cam3_thermal/20250624_171128_983962.mp4'}
2025-06-24 17:11:34,392 - LOG ±â·ÏµÊ: {'time': '2025-06-24 17:11:34', 'cam': 'cam3_rgb', 'label': 'animal', 'clip': '/clips/cam3_rgb/20250624_171132_410971.mp4'}
2025-06-24 17:11:55,389 - LOG ±â·ÏµÊ: {'time': '2025-06-24 17:11:55', 'cam': 'cam3_thermal', 'label': 'animal', 'clip': '/clips/cam3_thermal/20250624_171152_936182.mp4'}
2025-06-24 17:11:56,838 - LOG ±â·ÏµÊ: {'time': '2025-06-24 17:11:56', 'cam': 'cam2_thermal', 'label': 'person', 'clip': '/clips/cam2_thermal/20250624_171148_706233.mp4'}
2025-06-24 17:12:01,557 - LOG ±â·ÏµÊ: {'time': '2025-06-24 17:12:01', 'cam': 'cam3_rgb', 'label': 'animal', 'clip': '/clips/cam3_rgb/20250624_171159_161009.mp4'}
2025-06-24 17:12:03,203 - LOG ±â·ÏµÊ: {'time': '2025-06-24 17:12:03', 'cam': 'cam2_rgb', 'label': 'person', 'clip': '/clips/cam2_rgb/20250624_171151_973410.mp4'}
2025-06-24 17:12:08,577 - LOG ±â·ÏµÊ: {'time': '2025-06-24 17:12:08', 'cam': 'cam2_rgb', 'label': 'person', 'clip': '/clips/cam2_rgb/20250624_171159_263676.mp4'}
